DEPARTAMENTO,PROVINCIA,DISTRITO,PRESTADOR,RESOLUCION,TIPO_RESERVA,FECHA_CORTE,MONTO_PROYECTADO_GRD&ACC,MONTO_PROYECTADO_MERESE,VIGENCIA
MOQUEGUA,MARISCAL NIETO,MOQUEGUA,EPS MOQUEGUA S. A.,072-2017-SUNASS-CD,MERESE y GRD&ACC,20260225,285424,1005898,0
JUNIN,CHANCHAMAYO,CHANCHAMAYO,EPS SELVA CENTRAL S. A.,004-2016-SUNASS-CD,MERESE y GRD&ACC,20260225,358419,52733,0
ANCASH,HUARAZ,HUARAZ,EPS CHAV÷N S. A.,021-2015-SUNASS-CD,GRD&ACC,20260225,1000511,0,0
HUANUCO,HUANUCO,HUANUCO,SEDA HUµNUCO S. A.,014-2016-SUNASS-CD,MERESE y GRD&ACC,20260225,1302252,868168,0
JUNIN,HUANCAYO,HUANCAYO,SEDAM HUANCAYO S. A.,024-2015-SUNASS-CD,MERESE y GRD&ACC,20260225,3640623,3640623,0
CUSCO,CANCHIS,SICUANI,EMSSAPAL S. A.,066-2017-SUNASS-CD,MERESE y GRD&ACC,20260225,53949,294932,0
AMAZONAS,UTCUBAMBA,BAGUA GRANDE,EPSSMU S. A.,074-2017-SUNASS-CD,MERESE y GRD&ACC,20260213,157084,248319,0
ANCASH,SANTA,CHIMBOTE,SEDACHIMBOTE S. A.,007-2017-SUNASS-CD,MERESE y GRD&ACC,20260225,1528687,1528687,0
PUNO,YUNGUYO,YUNGUYO,EMAPA-Y S. R. L.,040-2024-SUNASS-CD,MERESE y GRD&ACC,20260225,112163,31897,1
PUNO,MELGAR,AYAVIRI,EPS AGUAS DEL ALTIPLANO S. R. L.,040-2014-SUNASS-CD,GRD&ACC,20260225,21458,0,0
ICA,ICA,ICA,EPS EMAPICA S. A.,071-2017-SUNASS-CD,MERESE y GRD&ACC,20260225,1438625,1907649,0
